question_id,topic,reference_code,heading_id,subheading_id,category_id,question_text,information_text
116,RG,QTN - RG,5,35,99,Oriented rat guards not deployed in the correct direction.,This is test information text
117,RG,QTN - RG,5,35,100,Rat guards not installed too low on the deck.,This is test information text
118,RG,QTN - RG,5,35,101,Rat guards securing/safety lines installed at the back of the rat guard.,This is test information text
119,RG,QTN - RG,5,36,102,Shipside rat guards weighted as per the IPM Plan.,This is test information text
120,RG,QTN - RG,5,36,96,Shipside rat guards not placed too close to the ship.,This is test information text
121,RG,QTN - RG,5,36,103,Shipside rat guards installed before the ship rope openings.,This is test information text
122,CRT,QTN - CRT,6,37,104,The traps were assembled correctly.,The traps were assembled correctly.
123,CRT,QTN - CRT,6,37,105,The ramps were not pulled out because they folded in.,The ramps were not pulled out because they folded in.
124,CRT,QTN - CRT,6,37,24,The monitoring traps are correctly placed according to the IPM Log.,The monitoring traps are correctly placed according to the IPM Log.
125,CRT,QTN - CRT,6,37,69,"The correct type of traps used (i.e. Silent Sentry, standard or monitor) as per the IPM Log.","The correct type of traps used (i.e. Silent Sentry, standard or monitor) as per the IPM Log."
126,CRT,QTN - CRT,6,37,106,The silicon release paper on the traps was removed.,The silicon release paper on the traps was removed.
127,CRT,QTN - CRT,6,37,107,"The traps are in good condition, not wet, not soiled, and not crushed.","The traps are in good condition, not wet, not soiled, and not crushed."
128,CRT,QTN - CRT,6,37,108,The traps are correctly placed on the deck.,The traps are correctly placed on the deck.
129,CRT,QTN - CRT,6,37,109,"The traps are being lifted before washdown, and they remain dry.","The traps are being lifted before washdown, and they remain dry."
130,CRT,QTN - CRT,6,37,110,No traps were positioned vertically.,No traps were positioned vertically.
131,CRT,QTN - CRT,6,37,88,"No traps were positioned inside equipment, such as the cleaning locker?","No traps were positioned inside equipment, such as the cleaning locker?"
132,CRT,QTN - CRT,6,37,111,Using new ones all the time.,Using new ones all the time.
133,CRT,QTN - CRT,6,37,112,"All traps are Nutrastat-branded, not any other types.","All traps are Nutrastat-branded, not any other types."
134,CRT,QTN - CRT,6,38,84,The traps are correctly labelled.,The traps are correctly labelled.
135,CRT,QTN - CRT,6,38,75,They are clean and well-maintained.,They are clean and well-maintained.
136,CRT,QTN - CRT,6,38,76,They are all undamaged.,They are all undamaged.
137,CRT,QTN - CRT,6,38,113,Standard monitoring traps are constantly being used in the Silent Sentry.,Standard monitoring traps are constantly being used in the Silent Sentry.
138,CRT,QTN - CRT,6,38,114,The manufacturer’s plastic film wrap has been removed from all Silent Sentries.,The manufacturer’s plastic film wrap has been removed from all Silent Sentries.
139,CRT,QTN - CRT,6,38,115,All internal base plates are correctly oriented.,All internal base plates are correctly oriented.
140,CRT,QTN - CRT,6,38,116,There were no soiled or dusty traps.,There were no soiled or dusty traps.
141,CRT,QTN - CRT,6,38,117,The baseplates were resting not on the hinge pins,The baseplates were resting not on the hinge pins
142,CRT,QTN - CRT,6,39,118,Traps are inspected weekly as per the current IPM Log.,Traps are inspected weekly as per the current IPM Log.
143,CRT,QTN - CRT,6,39,119,The traps all start at the correct IPM Period.,The traps all start at the correct IPM Period.
144,CRT,QTN - CRT,6,39,120,The inspection dates correctly followed the IPM Log.,The inspection dates correctly followed the IPM Log.
145,CRT,QTN - CRT,6,39,121,No traps were missing from the IPM Log designated locations.,No traps were missing from the IPM Log designated locations.
146,CRT,QTN - CRT,6,39,122,The placement dates were correct.,The placement dates were correct.
147,CRT,QTN - CRT,6,39,123,"The months are written in 3-character format (i.e. Apr, May, Dec).","The months are written in 3-character format (i.e. Apr, May, Dec)."
148,CRT,QTN - CRT,6,39,124,The inspecting person’s initials/signature are applied.,The inspecting person’s initials/signature are applied.
149,CRT,QTN - CRT,6,39,125,"Traps are inspected weekly and completed with Adults, Nymphs, and Other counts.","Traps are inspected weekly and completed with Adults, Nymphs, and Other counts."
150,CRT,QTN - CRT,6,39,126,There were no post-dated traps.,There were no post-dated traps.
